SerialNumber,Device
MJ01YFSE,CABMJ01YFSE-K
MJ01YFSL,CABMJ01YFSL-K
MJ01YFSW,CABMJ01YFSW-K
MJ02Q4HE,NWMMJ02Q4HE-K
MJ02Q4HK,TURMJ02Q4HK-K
MJ02Q4HY,WNP-HR-K-002276
MJ02Q4J2,TURMJ02Q4J2-K
MJ02Q4J5,CABMJ02Q4J5-K
MJ02Q4J7,CABMJ02Q4J7-K
MJ02Q4K9,TURMJ02Q4K9-K
MJ02Q4KG,CABMJ02Q4KG-K
MJ02Q4KN,TURMJ02Q4KN-K
MJ02Q4KP,TURMJ02Q4KP-K
MJ02Q4KS,TUR-HR-K-004250
MJ02Q4KT,TURMJ02Q4KT-K
MJ02Q7F9,RDG-HR-K-002073
MJ02Q7FG,SLCMJ02Q7FG-K
MJ02Q7G5,SLC-HR-K-004104
MJ06Z6K5,POL-PD-K-002195
MJ08D059,DFA004818
MJ08D05W,DFA004817
MJ08D06K,DFA004302
MJ08D087,DFA004813
MJ09QE1W,ALL-HR-K-000797
MJ09W06B,ALL-HR-K-000800
MJ0A8K85,VEN-HR-K-004699
MJ0APFL5,DFA003010
MJ0B15TL,DFA004755
MJ0B15TT,DFA004720
MJ0B15V4,DFA004759
MJ0B15V9,DFA004789
MJ0B15VR,DFA004791
MJ0BEDXD,DFA004291
MJ0BEE3Q,DFA004289
MJ0BFFJ8,DFA004815
MJ0BFFJL,DFA004814
MJ0BFM3K,DFA004276
MJ0BFMPZ,DFA004816
MJ0BFMQF,DFA004811
MJ0C03JC,DFA004705
MJ0C5PJK,DFA-MJ0C5PJK
MJ0DEK4B,DFA008979
MJ0DEK8R,DFA008907
MJ0DEK8Y,DFA008898
MJ0DEKA1,DFA008865
MJ0DEKAX,DFA008828
MJ0DEKAY,DFA008827
MJ0DEKB2,DFA008822
MJ0DEKB3,DFA008823
MJ0DEKBM,DFA008818
MJ0DEKBZ,DFA008806
MJ0DEKC3,DFA008801
MJ0DEKD3,DESKTOP-UROCJLH
MJ0DEKD5,DFA008763
MJ0DEKD7,DFA008764
MJ0DEKDA,DFA008758
MJ0DEKDJ,DFA008752
MJ0DEKDQ,DFA008746
MJ0DEKDR,DFA008748
MJ0DEKEJ,DFA008721
MJ0DEKET,DFA008713
MJ0DEKEV,DFA008711
MJ0DEKF5,DFA008703
MJ0DEKW7,DFA009228
MJ0DEKWL,DFA009262
MJ0DEKWZ,DFA009253
MJ0DEKXP,DFA009282
MJ0DG205,DFA009469
PF25VLMX,DFA-PF25VLMX
PF263Y8F,DFA-PF263Y8F
PF2D0377,DFA006285
R90VK250,DFA-R90VK250
R90W1AJ1,BEV-PD-L-002385
R9EW4ET,GRL-HR-K-000828
R9VCADZ,GRL-HR-K-000830
